<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,60,20200806,030000,397.5300000,402.4900000,396.4600000,401.2100000,9052
GDAX.ETH-USD,60,20200806,040000,401.2100000,404.0300000,398.8900000,399.7800000,9735
GDAX.ETH-USD,60,20200806,050000,399.7800000,399.7800000,397.0000000,397.9600000,5349
GDAX.ETH-USD,60,20200806,060000,397.9600000,398.4200000,395.0100000,398.2600000,6037
GDAX.ETH-USD,60,20200806,070000,398.2400000,398.2400000,395.2100000,395.8500000,5031
GDAX.ETH-USD,60,20200806,080000,395.7700000,396.0000000,392.6900000,394.5200000,7424
GDAX.ETH-USD,60,20200806,090000,394.5000000,396.2100000,393.0100000,395.1200000,3674
GDAX.ETH-USD,60,20200806,100000,394.9300000,397.5700000,394.7200000,397.2800000,7818
GDAX.ETH-USD,60,20200806,110000,397.2400000,397.5100000,394.9100000,395.4200000,2405
GDAX.ETH-USD,60,20200806,120000,395.3900000,397.9400000,394.9100000,397.7100000,4126
GDAX.ETH-USD,60,20200806,130000,397.7100000,398.1000000,396.3500000,396.7800000,4195
GDAX.ETH-USD,60,20200806,140000,396.7800000,396.9400000,393.7100000,393.9800000,3358
GDAX.ETH-USD,60,20200806,150000,393.9900000,396.3300000,393.7100000,394.8800000,2981
GDAX.ETH-USD,60,20200806,160000,395.0000000,397.4400000,394.7200000,397.1400000,2986
GDAX.ETH-USD,60,20200806,170000,397.1400000,400.0000000,396.0000000,399.8100000,9090
GDAX.ETH-USD,60,20200806,180000,399.7700000,399.9600000,395.1000000,396.7500000,9355
GDAX.ETH-USD,60,20200806,190000,396.8300000,401.2700000,396.8300000,399.7400000,8690
GDAX.ETH-USD,60,20200806,200000,399.7900000,400.7500000,397.1200000,398.8500000,9626
GDAX.ETH-USD,60,20200806,210000,398.8100000,399.3700000,395.6600000,397.2500000,6091
GDAX.ETH-USD,60,20200806,220000,397.2800000,397.6900000,394.9100000,397.2500000,5922
GDAX.ETH-USD,60,20200806,230000,397.2500000,398.9700000,396.4500000,397.3700000,5228
GDAX.ETH-USD,60,20200807,000000,397.3700000,398.5100000,395.5000000,396.9100000,7311
GDAX.ETH-USD,60,20200807,010000,396.9100000,397.9400000,393.4000000,395.8400000,7309
GDAX.ETH-USD,60,20200807,020000,395.9100000,396.5600000,393.5100000,394.9600000,5761
GDAX.ETH-USD,60,20200807,030000,394.9300000,395.4400000,391.0000000,395.2800000,7824
GDAX.ETH-USD,60,20200807,040000,395.2800000,396.3700000,394.1900000,395.3600000,6460
GDAX.ETH-USD,60,20200807,050000,395.3600000,398.5700000,395.1200000,397.3400000,10818
GDAX.ETH-USD,60,20200807,060000,397.3500000,398.4500000,396.2700000,396.7000000,6790
GDAX.ETH-USD,60,20200807,070000,396.6900000,397.6800000,395.5900000,395.9000000,3978
GDAX.ETH-USD,60,20200807,080000,395.8800000,396.3700000,394.3500000,395.9400000,6193
GDAX.ETH-USD,60,20200807,090000,395.9300000,396.2400000,393.6100000,394.6800000,4448
GDAX.ETH-USD,60,20200807,100000,394.6800000,395.8700000,393.9600000,395.1700000,1852
GDAX.ETH-USD,60,20200807,110000,395.1700000,395.2400000,393.3900000,394.3200000,6925
GDAX.ETH-USD,60,20200807,120000,394.4100000,396.6500000,392.4100000,395.6900000,3754
GDAX.ETH-USD,60,20200807,130000,395.6800000,398.0500000,395.0000000,396.3000000,6837
GDAX.ETH-USD,60,20200807,140000,396.2300000,396.8400000,394.6900000,395.0000000,3420
GDAX.ETH-USD,60,20200807,150000,395.0000000,395.0500000,392.9900000,394.3300000,6280
GDAX.ETH-USD,60,20200807,160000,394.4200000,395.2500000,392.0500000,394.7900000,5120
GDAX.ETH-USD,60,20200807,170000,394.7900000,395.7500000,392.8200000,394.1500000,6559
GDAX.ETH-USD,60,20200807,180000,394.1800000,394.3100000,378.9000000,385.1400000,27870
GDAX.ETH-USD,60,20200807,190000,385.1400000,388.1600000,384.2900000,385.8700000,6706
GDAX.ETH-USD,60,20200807,200000,385.7900000,387.3300000,379.2100000,379.4000000,12386
GDAX.ETH-USD,60,20200807,210000,379.2200000,379.7900000,362.8800000,373.8700000,69397
GDAX.ETH-USD,60,20200807,220000,373.8700000,374.3100000,364.0000000,373.7100000,24555
GDAX.ETH-USD,60,20200807,230000,373.7000000,377.4800000,372.9200000,375.0300000,11268
GDAX.ETH-USD,60,20200808,000000,375.0400000,381.0000000,373.7900000,378.0000000,9303
GDAX.ETH-USD,60,20200808,010000,378.0000000,380.1200000,376.6500000,379.8700000,5204
GDAX.ETH-USD,60,20200808,020000,379.8700000,383.5300000,378.6800000,380.8200000,6039
GDAX.ETH-USD,60,20200808,030000,380.8200000,383.3700000,378.9400000,379.7500000,5949
GDAX.ETH-USD,60,20200808,040000,379.7600000,380.9100000,376.1800000,379.8800000,6347
GDAX.ETH-USD,60,20200808,050000,379.8300000,383.1100000,379.8200000,381.7300000,3102
GDAX.ETH-USD,60,20200808,060000,381.7400000,382.6900000,378.5500000,380.9900000,2943
GDAX.ETH-USD,60,20200808,070000,380.9900000,381.0800000,377.0000000,378.4900000,5148
GDAX.ETH-USD,60,20200808,080000,378.4900000,379.7900000,377.5500000,377.6000000,2392
GDAX.ETH-USD,60,20200808,090000,377.5700000,381.5300000,377.5700000,380.9100000,2542
GDAX.ETH-USD,60,20200808,100000,380.8700000,381.4600000,380.1500000,381.0900000,1573
GDAX.ETH-USD,60,20200808,110000,380.9100000,382.0000000,380.9100000,381.9900000,69
GDAX.ETH-USD,60,20200808,120000,381.9900000,382.4000000,378.5500000,379.1700000,2265
GDAX.ETH-USD,60,20200808,130000,379.1900000,386.7100000,379.1900000,386.3300000,3562
GDAX.ETH-USD,60,20200808,140000,386.4400000,389.3100000,384.6600000,387.7000000,3409
GDAX.ETH-USD,60,20200808,150000,387.7200000,392.6300000,387.7200000,391.9600000,5525
GDAX.ETH-USD,60,20200808,160000,391.9700000,393.4900000,390.4800000,392.0500000,6442
GDAX.ETH-USD,60,20200808,170000,392.0100000,392.6100000,389.5500000,390.6700000,4192
GDAX.ETH-USD,60,20200808,180000,390.6500000,391.4400000,387.7500000,390.2400000,4850
GDAX.ETH-USD,60,20200808,190000,390.2500000,393.0000000,390.2500000,390.9900000,5278
GDAX.ETH-USD,60,20200808,200000,391.0000000,391.9600000,386.3900000,390.5600000,8963
GDAX.ETH-USD,60,20200808,210000,390.5600000,392.9000000,387.2000000,391.9700000,5505
GDAX.ETH-USD,60,20200808,220000,391.9700000,391.9700000,388.9100000,389.2100000,262
GDAX.ETH-USD,60,20200808,230000,391.7100000,391.7100000,387.5000000,389.6700000,3327
GDAX.ETH-USD,60,20200809,000000,389.6700000,389.6800000,387.0000000,388.4700000,8118
GDAX.ETH-USD,60,20200809,010000,388.4600000,391.7400000,388.1800000,391.7000000,4896
GDAX.ETH-USD,60,20200809,020000,391.7000000,392.4900000,389.0000000,391.0800000,6565
GDAX.ETH-USD,60,20200809,030000,391.1100000,400.0600000,389.0000000,397.5100000,12450
GDAX.ETH-USD,60,20200809,040000,397.5000000,401.0000000,390.5100000,398.5600000,43243
GDAX.ETH-USD,60,20200809,050000,398.5600000,398.9900000,393.1600000,396.1200000,9957
GDAX.ETH-USD,60,20200809,060000,396.2400000,397.6500000,395.2800000,395.7400000,2803
GDAX.ETH-USD,60,20200809,070000,395.2800000,397.8800000,395.0000000,395.3300000,3175
GDAX.ETH-USD,60,20200809,080000,395.5000000,396.1000000,393.7000000,394.3900000,2508
GDAX.ETH-USD,60,20200809,090000,394.2500000,395.6900000,393.0000000,393.0100000,2159
GDAX.ETH-USD,60,20200809,100000,393.0100000,395.0300000,392.8800000,393.1900000,2041
GDAX.ETH-USD,60,20200809,110000,393.1700000,395.7800000,393.0900000,395.5600000,918
GDAX.ETH-USD,60,20200809,120000,395.5700000,396.5900000,393.7800000,394.5500000,1417
GDAX.ETH-USD,60,20200809,130000,394.5400000,395.6600000,384.9400000,389.6000000,6202
GDAX.ETH-USD,60,20200809,140000,389.5200000,392.3500000,387.3800000,391.4200000,5580
GDAX.ETH-USD,60,20200809,150000,391.4100000,393.4100000,390.9600000,392.2900000,4423
